id,university_id,topic_id,question_en,question_ar,answer_en,answer_ar,normalized_intent,keywords,source_id,created_at,updated_at
1,1,1,What is An-Najah National University?,ما هي جامعة النجاح الوطنية؟,"An-Najah National University is a public university in Nablus, Palestine. It was chartered as a full-fledged university in 1977 and has grown into one of the largest universities in Palestine.",جامعة النجاح الوطنية هي جامعة حكومية في نابلس، فلسطين. أصبحت جامعة متكاملة عام 1977 وتُعد من أكبر الجامعات في فلسطين.,UNIVERSITY_OVERVIEW,"[""an-najah"",""overview"",""nablus"",""palestine"",""public university""]",3,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
2,1,2,When was An-Najah founded?,متى تأسست جامعة النجاح؟,An-Najah traces its origins to 1918 when it was established as An-Najah Nabulsi School.,ترجع جذور جامعة النجاح إلى عام 1918 عندما تأسست كمدرسة النجاح النابلسية.,UNIVERSITY_FOUNDED,"[""1918"",""founded"",""history"",""school""]",2,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
3,1,2,When did it become a university?,متى أصبحت جامعة؟,It was chartered as a full-fledged university in 1977 as “An-Najah National University.”,أصبحت جامعة متكاملة عام 1977 باسم “جامعة النجاح الوطنية”.,UNIVERSITY_BECAME_UNIVERSITY,"[""1977"",""university"",""history""]",2,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
4,1,3,How many faculties does An-Najah have?,كم عدد الكليات في جامعة النجاح؟,"According to the official site, An-Najah has 11 faculties.",وفقاً للموقع الرسمي، لدى جامعة النجاح 11 كلية.,UNIVERSITY_FACTS,"[""faculties"",""11"",""facts""]",3,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
5,1,3,How many programs does An-Najah offer?,كم عدد البرامج التي تقدمها جامعة النجاح؟,The official Facts and Figures block lists 219 programs (2022/2023).,يذكر قسم الحقائق والأرقام 219 برنامجاً (2022/2023).,UNIVERSITY_PROGRAMS,"[""programs"",""219"",""facts""]",3,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
6,1,3,How many students are enrolled?,كم عدد الطلبة؟,"The official Facts and Figures block lists about 25,000 students (2022/2023).","يذكر قسم الحقائق والأرقام حوالي 25,000 طالب/ة (2022/2023).",UNIVERSITY_STUDENTS,"[""students"",""25000"",""facts""]",3,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
7,1,4,What is the mission of An-Najah National University?,ما هي رسالة جامعة النجاح الوطنية؟,"Its mission is to advance learning, share knowledge, foster skills for student success, promote scientific excellence, advance research, serve community needs through sustainable development, and preserve Palestinian cultural and religious heritage.",تتمثل رسالتها في تطوير التعليم ونشر المعرفة وتنمية مهارات الطلبة، وتعزيز التميز العلمي والبحث العلمي، وخدمة المجتمع عبر التنمية المستدامة، والحفاظ على التراث الثقافي والديني الفلسطيني.,UNIVERSITY_MISSION,"[""mission"",""learning"",""research"",""community"",""heritage""]",1,"""2026-04-14T15:02:18.315Z""","""2026-04-14T15:02:18.315Z"""
8,1,3,How many campuses does An-Najah have?,كم حرم جامعي في جامعة النجاح؟,"An-Najah has five campuses: the New Campus, the Old Campus, Hisham Hijjawi College of Technology, Khadouri Campus in Tulkarm, and An-Najah National Hospital.",لدى جامعة النجاح خمسة أحرم جامعية: الحرم الجديد، الحرم القديم، كلية هشام حجاوي التقنية، حرم خضوري في طولكرم، ومستشفى النجاح الوطني.,UNIVERSITY_CAMPUSES,"[""campuses"",""campus"",""new campus"",""old campus"",""hijjawi"",""khadouri"",""hospital""]",4,"""2026-04-14T17:18:18.525Z""","""2026-04-14T17:18:18.525Z"""
9,1,1,What is the vision of An-Najah?,ما هي رؤية جامعة النجاح؟,"An-Najah is dedicated to promoting understanding, providing the highest quality education, and serving as a leader in scientific research. It acts as a base for sustainable development by encouraging leadership and community service.",تلتزم جامعة النجاح بتعزيز الفهم وتقديم أعلى جودة في التعليم والريادة في البحث العلمي، وتعمل كقاعدة للتنمية المستدامة من خلال تشجيع القيادة وخدمة المجتمع.,UNIVERSITY_VISION,"[""vision""]",5,"""2026-04-14T17:18:18.525Z""","""2026-04-14T17:18:18.525Z"""
10,1,3,How big is the An-Najah library?,كم حجم مكتبة جامعة النجاح؟,"The university libraries contain more than 250,071 books, 308,568 electronic books, and 81,735 electronic journals.","تحتوي مكتبات الجامعة على أكثر من 250,071 كتاب، و308,568 كتاب إلكتروني، و81,735 مجلة إلكترونية.",UNIVERSITY_LIBRARY,"[""library"",""books"",""ebooks"",""journals""]",4,"""2026-04-14T17:18:18.525Z""","""2026-04-14T17:18:18.525Z"""
11,1,3,What faculties does An-Najah have?,ما هي كليات جامعة النجاح؟,"An-Najah has 11 faculties including: Medicine and Allied Medical Sciences, Business and Communication, Dentistry, Fine Arts, Graduate Studies, Humanities and Educational Sciences, IT and AI, Law and Political Sciences, Veterinary Medicine and Agricultural Engineering, and Engineering and IT.",تضم جامعة النجاح 11 كلية منها: الطب، الأعمال والاتصال، طب الأسنان، الفنون الجميلة، الدراسات العليا، العلوم الإنسانية والتربوية، تكنولوجيا المعلومات والذكاء الاصطناعي، القانون والعلوم السياسية، الطب البيطري والهندسة الزراعية، والهندسة وتكنولوجيا المعلومات.,UNIVERSITY_FACULTIES_LIST,"[""faculties"",""colleges"",""faculty list""]",6,"""2026-04-14T17:18:18.525Z""","""2026-04-14T17:18:18.525Z"""
