major_id,category,greeting_en,greeting_ar,suggested_questions_en,suggested_questions_ar,facts_en,facts_ar,engineering_program_key
eng-me,engineering,"Welcome! I am your academic advisor for Mechanical Engineering. Ask me about anything — admission, difficulty, career paths, or how hands-on the programme is.",أهلاً! أنا مرشدك الأكاديمي للهندسة الميكانيكية. اسألني عن أي شي — القبول، الصعوبة، فرص العمل، أو قديش فيه جانب عملي.,"[""Is this programme difficult?"",""Is it more hands-on or theoretical?"",""What is the competition level?"",""What is the admission average?""]","[""هل هالتخصص صعب؟"",""أكثر عملي ولا نظري؟"",""شو مستوى التنافس؟"",""شو معدل القبول؟""]","Mechanical Engineering is listed by An-Najah National University under Faculty of Engineering. Duration: 60 Months (5 Years). Degree awarded: Bachelor. Program code: 10621. Official program description: Mechanical Engineering is the oldest field of engineering specializations. In the past decades, Mechanical Engineering shared the development and civilization of different nations. Mechanical Engineering used the energy of waterfall, wind and steam for the technological development and civilization. Mechanical Engineering focuses on energy conversions, power machines, machine design, production processes, and testing and evaluation of the industrial products. Some of the most important branches of Mechanical Engineering are: Applied Mechanics, and Ventilation and air conditioning. Due to its importance in development and civilization, and due to the needs of the Palestinian community for specialized and well trained mechanical engineers, the Engineering Faculty has established the Mechanical Engineering Department in the year 2002. Admission to the Mechanical Engineering Department was started in the first academic semester 2002 /2003. The mission of the Mechanical Engineering Program is focused in three dimensions, locally, regionally and internationally, and it is based and compromises well with the missions of both the Engineering Faculty and the University. Mechanical Engineering Program is established to take an advanced-important position in the development of the local society, by providing the local and regional work-market with well educated and trained Mechanical Engineers according to international standards in education and training. Official career opportunities section: The graduate students of the mechanical engineering program can work in building mechanical systems, all factories as mechanical engineering designer or engineering maintenance, or engineering production lines. Also in vehicles companies, government institutions, elevator companies and hydraulic machines.",تدرج جامعة النجاح الوطنية تخصص الهندسة الميكانيكية ضمن كلية الهندسة. مدة الدراسة: 60 Months (5 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10621. وصف البرنامج الرسمي: الهندسة الميكانيكية هي فرع من فروع الهندسة تهتم في بناء مهندس ميكانيكي قادر على فهم العلاقة بين القوى والحركة كالديناميكا، والاهتزازات، والتحكم الآلي وكذلك إدراك العلاقات الأساسية للأشكال المختلفة للحرارة كالديناميكا الحرارية، وانتقال الحرارة، والتكييف والتبريد، والطاقة، والموائع، وخواص المواد وعمليات التصنيع والإنتاج. حيث يمتاز المهندس الميكانيكي في قدرته على تبسيط وتحليل النظم المعقدة والابتكار من خلال البحث والتصميم لتلبية السوق المحلي والإقليمي. إضافة إلى ذلك قدرته على التخطيط وتشغيل وصيانة وإدارة خطوط الإنتاج وذلك بإنتاج كمية عالية بتكلفة قليلة مع المحافظة على ديمومة الشركة. لقد تأسس البرنامج عام 2002م حيث احتفل بأول دفعة خريجين سنة 2005-2006. منذ تأسيسه وحتى الآن تطور برنامج الهندسة الميكانيكية تطوراً سريعاً تماشياً مع التطور العلمي لتلبية احتياجات الحاضر والمستقبل. برنامج الهندسة الميكانيكية في جامعة النجاح مجهز بمجموعة من المختبرات الحديثة مثل: مختبر انتقال الحرارة، ومختبر ميكانيكا الموائع، ومختبر الاهتزازات وميكانيكا الآلات ومختبر خواص وميكانيكا المواد ومختبر الحراريات. إضافة إلى عدد من المختبرات التي تقدمها مختبرات كلية الهندسة ذات العلاقة ببرنامج الهندسة الميكانيكية. فرص العمل المذكورة رسميًا: من أهم الوظائف التي يمكن لخريجي الهندسة الميكانيكية الالتحاق بها بعد التخرج، تشمل وظائف مهندسي التصميم والتطوير والإنتاج والصيانة والجودة، والمهندسين الميكانيكيين في قطاعات الطاقة والنقل والصناعات الثقيلة والمقاولات والاستشارات الهندسية والتكنولوجيا والبحث والتطوير. كما يمكن للخريجين العمل كمهندسي مبيعات ومندوبي مبيعات ومديري مشاريع ورؤساء فرق العمل والمدراء الفنيين والاستشاريين في شركات ومؤسسات ومنظمات عديدة,
eng-se,engineering,"Welcome! I am your academic advisor for Software Engineering. I can help you with questions about admission, difficulty, career paths, or how it compares with Computer Science.",أهلاً! أنا مرشدك الأكاديمي لهندسة البرمجيات. بقدر أساعدك بأسئلة عن القبول، الصعوبة، فرص العمل، أو مقارنته مع علوم الحاسوب.,"[""Is this programme difficult?"",""How coding-intensive is it?"",""What is the admission average?"",""How does it compare with Computer Science?""]","[""هل هالتخصص صعب؟"",""قديش فيه برمجة؟"",""شو معدل القبول؟"",""شو الفرق بينه وبين علوم الحاسوب؟""]",Software Engineering is stored in this university database under Engineering & IT. The current chatbot coverage for this legacy major is based on the existing system catalogue entry. The official An-Najah undergraduate pages imported this round do not expose a separate detailed page under this exact programme label.,???? Software Engineering ???? ?? ????? ?????? ?????? ??????? ??? Engineering & IT. ????? ????? ???? ?????? legacy ????? ??? ????? ???????? ??????? ?? ??????. ??????? ??????? ???? ?? ????????? ?? ????? ?????? ??? ?????? ?? ???? ???? ????? ?????? ???? ??? ?????? ??????? ??????.,
med-nursing,health,"Welcome! I am your academic advisor for Nursing. I can share what I know about this programme. For licensing and clinical details, I would recommend checking with the faculty office directly.",أهلاً فيك! أنا مرشدك الأكاديمي للتمريض. بقدر أشاركك اللي بعرفه عن هالتخصص. لتفاصيل الترخيص والسريريات، بنصحك تتواصل مع عمادة الكلية.,"[""Is this programme more clinical or classroom-based?"",""What does licensing depend on?"",""Is it very demanding in hours?"",""Is it a good fit for me?""]","[""هالبرنامج أكثر سريري ولا صفي؟"",""شو بتعتمد عليه رخصة المزاولة؟"",""هل ساعاته كثيرة؟"",""بيناسبني هالتخصص؟""]","Nursing is listed by An-Najah National University under Faculty of Nursing. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 10716. Official program description: The college of nursing at An-Najah National University offers undergraduate program leading to the degree Bachelor of Science in Nursing. This program prepares professional nurses who can work with a multidisciplinary health team in order to meet the client's health needs and to upgrade the quality of health care in various health settings. Our mission is to educate and develop students to equip them for a rapidly changing, creative technology-enable.The Bachelor of Science program prepares highly competent, qualified, and caring nurses who meet the health care needs, prepares individuals for entry level professional practice and provides a foundation for leadership roles and graduate study. Characterized by scholarship and community service, we are committed to graduating nurses who are highly competent, qualified and caring-- nurses who are grounded in theory and research as guides to their clinical practice, who are responsive to the health care needs and expectations of individuals, families, community, and the profession. Official career opportunities section: B.S. nursing student practice in all setting of nursing care;",تدرج جامعة النجاح الوطنية تخصص التمريض ضمن كلية التمريض. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10716. وصف البرنامج الرسمي: علم التمريض هو الموضوع الرئيسي للبرنامج، ومشاركة المفاهيم الصحية والبيئة المحيطة. فمهنة التمريض تركز على حاجة الفرد وقدراته ومدى علاقته بالصحة وحسن الحال، وهذا يشمل مساعدة الفرد الذي يتمتع بصحة جيدة أو الفرد المريض بهدف الإبقاء والمحافظة على الصحة ومساعدته لمواجهة الحوادث. ينظر لمفهوم الصحة الجيدة بأنها حالة ديناميكية (ذات حركة) يتفاعل من خلالها الفرد مع البيئة المحيطة به بشكل عام، وكل تغيير في حالته الصحية يؤثر على الفرد بكامله وهذه النظرة مستندة إلى النظرة الشمولية. والعمل في مجال مهنة التمريض يَدعم الفرد في البقاء وتطوير المعرفة والقدرات والمهارات لكي يصل إلى درجة صحية جيدة ونوعية حياة جيدة بأسرع ما يمكن. رؤية برنامج التمريض: أن يكون من البرامج الرائدة في الشرق الأوسط لتقديم برامج متميزة في التعليم التمريضي في المجالات الأكاديمية والسريرية للمرحلة الجامعية والدراسات العليا. رسالة برنامج التمريض: إعداد ممرضات وممرضين ذو كفاءة عالية مع المهارات الأساسية للبحث العلمي لتوفير الرعاية التمريضية الآمنة والفعالة في المرافق الصحية المختلفة في المجتمع. فرص العمل المذكورة رسميًا: وزارة التعليم العالي- فلسطين,
annajah-hum-01,arts,"Hello, I am your advisor for Arabic Language & Literature. I can answer from the university database about how this programme is linked inside An-Najah's academic catalogue.",أهلاً، أنا مساعدك لتخصص Arabic Language & Literature. بقدر أجاوبك من قاعدة بيانات الجامعة عن ارتباط هذا البرنامج داخل دليل جامعة النجاح الأكاديمي.,"[""What is this major about?"",""Which faculty is this major under?"",""What careers can this major lead to?"",""What should I know before choosing it?""]","[""احكيلي عن هذا التخصص"",""تحت أي كلية يندرج هذا التخصص؟"",""ما مجالات العمل لهذا التخصص؟"",""ما الذي يجب أن أعرفه قبل اختياره؟""]","Arabic Language & Literature is listed by An-Najah National University under Faculty of Humanities and Educational Sciences. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 11301. Official program description: The Department of Arabic Language and Literature was established in 1977 and is one of the largest departments at the Faculty of Humanities. It is home to 15 assistant and associate professors of various specializations. The department aspires to develop higher education through producing competent graduates in Arabic language, literature and heritage as well as critical thinking. The department offers BA and MA programs in Arabic language and literature and is aspiring to offer a PhD program in the future. The department is also in the process of accrediting a minor program in Hebrew. The department currently offers 124 credit hours including requirement and elective courses. Official career opportunities section: Graduates may work in:",تدرج جامعة النجاح الوطنية تخصص اللغة العربية وآدابها ضمن كلية العلوم الإنسانية والتربوية. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 11301. وصف البرنامج الرسمي: تأسس برنامج اللغة العربية وآدابها سنة 1977، وهو من أقدم برامج الجامعة ويزيد عدد طلابه عن 350 طالباً وطالبة، وقد مر البرنامج بمراحل تطور كان آخرها طرح تخصصين هما : - تخصص رئيسي لغة عربية على أن يختار الطالب أي تخصص فرعي تطرحه الجامعة لدراسته حتى تكتمل الخطة. - لغة عربية فرعي يطرح لطلبة التخصصات الرئيسية في الجامعة بواقع 30 ساعة معتمدة، علماً أن البرنامج سيبقى محتفظاً بتخصص اللغة العربية المنفرد بواقع 124 ساعة معتمدة لمن لا يريد دراسة تخصصات فرعية. وفي البرنامج أساتذة يحملون درجات علمية مختلفة من أستاذ إلى أستاذ مشارك إلى أستاذ مساعد في مختلف التخصصات. ومن الجدير بالذكر أن كلية الدراسات العليا بالجامعة تضم برنامجاً يمنح درجة الماجستير باللغة العربية. فرص العمل المذكورة رسميًا: من أهم الفرص المتاحة لخريجي برنامج اللغة العربية وآدابها العمل في التدريس والإشراف التربوي بمدارس التربية والتعليم. ويُتاح لخريجي برنامج اللّغة العربية العمل في مؤسسات عدة مثل:,
annajah-itai-04,technology,"Hello, I am your advisor for Computer Science Apprenticeship Program. I can answer from the university database about how this programme is linked inside An-Najah's academic catalogue.",أهلاً، أنا مساعدك لتخصص Computer Science Apprenticeship Program. بقدر أجاوبك من قاعدة بيانات الجامعة عن ارتباط هذا البرنامج داخل دليل جامعة النجاح الأكاديمي.,"[""What is this major about?"",""Which faculty is this major under?"",""What careers can this major lead to?"",""What should I know before choosing it?""]","[""احكيلي عن هذا التخصص"",""تحت أي كلية يندرج هذا التخصص؟"",""ما مجالات العمل لهذا التخصص؟"",""ما الذي يجب أن أعرفه قبل اختياره؟""]","Computer Science Apprenticeship Program is listed by An-Najah National University under Faculty of Information Technology & Artificial Intelligence. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 10672. Official program description: The CAP program aims to foster the development of future innovation leaders within the information technology industry. Our program equips individuals with the skills to identify promising market opportunities, transform them into viable project ideas, create optimal solutions, and design innovative software products that cater to the needs of today's world. What sets the Apprenticeship Computer Science Program apart is its distinct identity, setting it apart from other computer science programs in Palestine. Our program takes pride in its close collaboration with the IT market in Palestine, resulting in a unique industry apprenticeship experience for participants. This deep engagement with the industry not only enhances the program's value but also contributes to its special identity as a program that prepares students for real-world challenges and opportunities in the field of computer science. The Software Engineering Course: Official career opportunities section: Graduates of the CAP program have a wide range of job opportunities, including:","تدرج جامعة النجاح الوطنية تخصص علم الحاسوب في سوق العمل ضمن كلية تكنولوجيا المعلومات والذكاء الاصطناعي. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10672. وصف البرنامج الرسمي: نقوم في هذا البرنامج بتحضير جيل من الرياديين المبدعين في قطاع تكنولوجيا المعلومات ونعمل على تزويد هذا القطاع الحيوي بخريجين قادرين على خلق الفرص وتحوليها إلى أفكار مشاريع هامة وتطوير حلول إبداعية لها وتطوير برامج تتناسب والاحتياجات المتغيرة في السوق. وهذا البرنامج في علوم الحاسوب له مزايا خاصة تميزه عن باقي برامج تكنولوجيا المعلومات في فلسطين والمنطقة العربية كونه برنامج صُمّم ونُفّذ بالشراكة مع قطاع أعمال تكنولوجيا المعلومات في فلسطين. هذه الشراكة هي ما يعطي البرنامج سمته الخاصة كونه يوفّر للطالب فرصا كثيرة للتدريب والاندماج في السوق. - وصف مسار هندسة البرمجيات "" مسار هندسة البرمجيات، هو مسار يعطي الطالب نظرة شاملة عن تصميم و تطوير الأنظمة البرمجية بكفاءة و ذلك طريق دراسة أساسيات علم الحاسوب بالاضافة الى متقدمة تتعلق بتطوير البرمجيات و إدارتها "" - وصف مساق الذكاء الاصطناعي "" مسار الذكاء الاصطناعي مسار يقوم بتزويد الطلاب باساسيات علوم الحاسوب و اساسيات تعلم الآلة و التعلم العميق بالاضافة الى مواد تغطي بعض من تفرعات الذكاء الاصطناعي كال Natural language processing و ال Computer version و ال Data Science "" عدد الساعات الإجمالي للبرنامج: 134 ساعة دراسية فرص العمل المذكورة رسميًا بالإنجليزية: Graduates of the CAP program have a wide range of job opportunities, including:",
annajah-itai-05,technology,"Hello, I am your advisor for Cyber Security. I can answer from the university database about how this programme is linked inside An-Najah's academic catalogue.",أهلاً، أنا مساعدك لتخصص Cyber Security. بقدر أجاوبك من قاعدة بيانات الجامعة عن ارتباط هذا البرنامج داخل دليل جامعة النجاح الأكاديمي.,"[""What is this major about?"",""Which faculty is this major under?"",""What careers can this major lead to?"",""What should I know before choosing it?""]","[""احكيلي عن هذا التخصص"",""تحت أي كلية يندرج هذا التخصص؟"",""ما مجالات العمل لهذا التخصص؟"",""ما الذي يجب أن أعرفه قبل اختياره؟""]","Cyber Security is listed by An-Najah National University under Faculty of Information Technology & Artificial Intelligence. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 10687. Official program description: The Network and Information Security Program strives to establish itself as a pioneering leader in the field of computer network education, training, and research. Our primary goal is to deliver a world-class educational experience while focusing on information and network security. Through this program, we aim to enhance students' capabilities in several key areas, including classical network protocols and security, principles of wireless networks, internet communication, and other foundational technologies that underpin computer networks and information security. By the end of the program, students will possess the expertise to design, implement, and analyze networks. They will also acquire the skills necessary to detect cyber-attacks and secure information networks at various levels, including component, system, and enterprise levels. Our graduates will play a vital role in fulfilling the much-needed skill requirements outlined in the national development plan. Additionally, they will be well-equipped to meet the demands of both local and international markets, thus contributing to the growth and development of the field. Official career opportunities section: Graduates of the program possess the necessary skills to excel in various fields related to networks and information security, including but not limited to banks, universities, and stock markets.",تدرج جامعة النجاح الوطنية تخصص الأمن السيبراني ضمن كلية تكنولوجيا المعلومات والذكاء الاصطناعي. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10687. وصف البرنامج الرسمي: يهدف برنامج أمن الشبكات والمعلومات إلى إنشاء دور رائد في مجالات التدريس والتدريب والبحث في شبكات الكمبيوتر بالإضافة إلى أمن المعلومات والشبكات مع توفير مستوى تعليمي متميز على مستوى عالمي. تتمثل رسالة البرنامج في تطوير قدرات الطلاب في المجالات التالية: بروتوكولات الشبكة الكلاسيكية والأمان، ومبادئ الشبكات اللاسلكية واتصالات الإنترنت جنبًا إلى جنب مع التقنيات الأخرى التي تشكل الأساس لشبكات الكمبيوتر وأمن المعلومات. يجب أن يكون الطلاب قادرين على تصميم وتنفيذ وتحليل الشبكات واكتشاف الهجمات الإلكترونية وتأمين شبكات المعلومات على مستوى المكون والنظام والمؤسسة. سيحقق خريجو البرنامج مهارة تمس الحاجة إليها في خطة التنمية الوطنية ويزيدون من تلبية متطلبات الأسواق المحلية والدولية. فرص العمل المذكورة رسميًا: يمكن للطلاب المشاركة في جميع الأعمال المتعلقة بكل من الشبكات وأمن المعلومات مثل: البنوك والجامعات وأسواق الأوراق المالية ... إلخ. بشكل عام، جميع الأعمال التي تعنى بالحفاظ على المعلومات وأمنها يمكن لخريجي هذا البرنامج العمل بها.,
annajah-den-01,health,"Hello, I am your advisor for Dental Hygiene BA Program. I can answer from the university database about how this programme is linked inside An-Najah's academic catalogue.",أهلاً، أنا مساعدك لتخصص Dental Hygiene BA Program. بقدر أجاوبك من قاعدة بيانات الجامعة عن ارتباط هذا البرنامج داخل دليل جامعة النجاح الأكاديمي.,"[""What is this major about?"",""Which faculty is this major under?"",""What careers can this major lead to?"",""What should I know before choosing it?""]","[""احكيلي عن هذا التخصص"",""تحت أي كلية يندرج هذا التخصص؟"",""ما مجالات العمل لهذا التخصص؟"",""ما الذي يجب أن أعرفه قبل اختياره؟""]","Dental Hygiene BA Program is listed by An-Najah National University under Faculty of Dentistry & Dental Surgery. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 10767. Official program description: The Bachelor of Dental Hygiene program has been conceptualized to fulfill a vital role in bolstering professions that cater to the elderly demographic. Currently in the developmental phase, this program is poised to usher in a new era of opportunities. By introducing the Bachelor of Dental Hygiene program, we aim to carve out a unique space within the realm of healthcare, effectively addressing the requirements of the specialized dental medicine market. Through this program, we envisage the creation of novel career pathways for graduates, offering them a distinctive vantage point within the expansive field of healthcare. This is particularly significant given the growing demand for specialized oral health services in the healthcare sector. As this program takes shape, it reflects our proactive approach in addressing societal needs and contributing to the enhancement of healthcare services. In essence, the Bachelor of Dental Hygiene program not only underscores our commitment to adapting to evolving healthcare demands but also signifies our dedication to providing graduates with the skills and knowledge that align with the dynamic healthcare landscape. By catering to the requirements of a specialized market, we endeavor to empower our graduates to excel in a healthcare sector that is increasingly shaped by innovation and specialization. Official career opportunities section: Upon successful completion of the dental hygiene program, graduates will find a plethora of exciting career paths awaiting them. These include:","تدرج جامعة النجاح الوطنية تخصص Dental Hygiene BA Program ضمن Faculty of Dentistry & Dental Surgery. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10767. الوصف الرسمي المتوفر بالإنجليزية: The Bachelor of Dental Hygiene program has been conceptualized to fulfill a vital role in bolstering professions that cater to the elderly demographic. Currently in the developmental phase, this program is poised to usher in a new era of opportunities. By introducing the Bachelor of Dental Hygiene program, we aim to carve out a unique space within the realm of healthcare, effectively addressing the requirements of the specialized dental medicine market. Through this program, we envisage the creation of novel career pathways for graduates, offering them a distinctive vantage point within the expansive field of healthcare. This is particularly significant given the growing demand for specialized oral health services in the healthcare sector. As this program takes shape, it reflects our proactive approach in addressing societal needs and contributing to the enhancement of healthcare services. In essence, the Bachelor of Dental Hygiene program not only underscores our commitment to adapting to evolving healthcare demands but also signifies our dedication to providing graduates with the skills and knowledge that align with the dynamic healthcare landscape. By catering to the requirements of a specialized market, we endeavor to empower our graduates to excel in a healthcare sector that is increasingly shaped by innovation and specialization. فرص العمل المذكورة رسميًا بالإنجليزية: Upon successful completion of the dental hygiene program, graduates will find a plethora of exciting career paths awaiting them. These include:",
annajah-den-02,health,"Hello, I am your advisor for Dental Laboratory Technology. I can answer from the university database about how this programme is linked inside An-Najah's academic catalogue.",أهلاً، أنا مساعدك لتخصص Dental Laboratory Technology. بقدر أجاوبك من قاعدة بيانات الجامعة عن ارتباط هذا البرنامج داخل دليل جامعة النجاح الأكاديمي.,"[""What is this major about?"",""Which faculty is this major under?"",""What careers can this major lead to?"",""What should I know before choosing it?""]","[""احكيلي عن هذا التخصص"",""تحت أي كلية يندرج هذا التخصص؟"",""ما مجالات العمل لهذا التخصص؟"",""ما الذي يجب أن أعرفه قبل اختياره؟""]","Dental Laboratory Technology is listed by An-Najah National University under Faculty of Dentistry & Dental Surgery. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 10768. Official program description: The aim of the Dental Laboratory Technology Program is to educate students about the skills necessary for designing, creating, and crafting dental prostheses.. This encompasses a range of products such as full and partial dentures, crowns, bridges, and orthodontic appliances. The program places a strong emphasis on incorporating cutting-edge methodologies, advanced equipment, and modern materials. Notably, topics like implantology, cosmetic dentistry, and CAD/CAM technology are highlighted. By the end of the program, graduates will possess the expertise to exhibit a proficient blend of scientific and hands-on abilities. These skills are vital for manufacturing diverse dental appliances and a wide array of prosthetic devices. The learning experience closely mirrors real-world clinical situations, ensuring graduates are well-prepared to operate effectively within a clinical environment. Official career opportunities section: Private Laboratory Entrepreneurship: A predominant career route for dental lab technicians involves establishing and managing their own private laboratories. This avenue allows for autonomy and entrepreneurship in the field.","تدرج جامعة النجاح الوطنية تخصص Dental Laboratory Technology ضمن Faculty of Dentistry & Dental Surgery. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10768. الوصف الرسمي المتوفر بالإنجليزية: The aim of the Dental Laboratory Technology Program is to educate students about the skills necessary for designing, creating, and crafting dental prostheses.. This encompasses a range of products such as full and partial dentures, crowns, bridges, and orthodontic appliances. The program places a strong emphasis on incorporating cutting-edge methodologies, advanced equipment, and modern materials. Notably, topics like implantology, cosmetic dentistry, and CAD/CAM technology are highlighted. By the end of the program, graduates will possess the expertise to exhibit a proficient blend of scientific and hands-on abilities. These skills are vital for manufacturing diverse dental appliances and a wide array of prosthetic devices. The learning experience closely mirrors real-world clinical situations, ensuring graduates are well-prepared to operate effectively within a clinical environment. فرص العمل المذكورة رسميًا بالإنجليزية: Private Laboratory Entrepreneurship: A predominant career route for dental lab technicians involves establishing and managing their own private laboratories. This avenue allows for autonomy and entrepreneurship in the field.",
arts-econ,arts,Welcome! I am your academic advisor for Economics. I can share what I know about this programme and help you think about whether it fits your interests and goals.,أهلاً وسهلاً! أنا مرشدك الأكاديمي للاقتصاد. بقدر أشاركك اللي بعرفه عن هالتخصص وأساعدك تفكر إذا بيناسب اهتماماتك وأهدافك.,"[""Is this major more theory or applied?"",""What analytical skills does it develop?"",""Is it a good fit if I like data and analysis?"",""How does it compare with Business Administration?""]","[""هالتخصص أكثر نظري ولا تطبيقي؟"",""شو المهارات التحليلية اللي بيطورها؟"",""بيناسبني إذا بحب البيانات والتحليل؟"",""شو الفرق بينه وبين إدارة الأعمال؟""]","Economics combines quantitative reasoning with social-science perspectives. For the full curriculum, check the official faculty page.",الاقتصاد بجمع التفكير الكمّي مع وجهات نظر العلوم الاجتماعية. للمنهج الكامل، راجع صفحة الكلية الرسمية.,
annajah-bus-07,business,"Hello, I am your advisor for Digital Economy and E-Commerce. I can answer from the university database about how this programme is linked inside An-Najah's academic catalogue.",أهلاً، أنا مساعدك لتخصص Digital Economy and E-Commerce. بقدر أجاوبك من قاعدة بيانات الجامعة عن ارتباط هذا البرنامج داخل دليل جامعة النجاح الأكاديمي.,"[""What is this major about?"",""Which faculty is this major under?"",""What careers can this major lead to?"",""What should I know before choosing it?""]","[""احكيلي عن هذا التخصص"",""تحت أي كلية يندرج هذا التخصص؟"",""ما مجالات العمل لهذا التخصص؟"",""ما الذي يجب أن أعرفه قبل اختياره؟""]","Digital Economy and E-Commerce is listed by An-Najah National University under Faculty of Business and Communication. Duration: 48 Months (4 Years). Degree awarded: Bachelor. Program code: 10808. Official program description: Vision The Department of Economics seeks to make every effort to ‎enable our graduates to meet the needs of the Palestinian and ‎Regional Markets. The Department aims to generate highly ‎skilled economists who have the ability to effectively ‎contribute and add value to the Palestinian Economy through ‎putting their theory and knowledge into practice.‎ Mission The Department's work aims to help serve and develop ‎the Palestinian Economy through preparing well qualified ‎and knowledgeable students who are capable of thinking ‎critically, submitting solutions and looking forward to ‎innovation and novelty, and have adept leadership ‎skills and managerial proficiency ‎Objectives Recruit the appropriate human resources in the Department.‎ Continuously improve and develop the curriculum through ‎updating texts and the teaching means in the Department. Create strong economical awareness of the National ‎Economy, as well as Regional Arabic and International ‎Economies. Prepare students to deal with economical developments ‎effectively and professionally through joining theory with ‎practice. Encourage research and connect students with the Private ‎and Public Economic Institutions in the local environment. Official career opportunities section: Economics is very essential which means they found it in several ways in Government, Private sector and NGOs.","تدرج جامعة النجاح الوطنية تخصص الاقتصاد الرقمي والتجارة الإلكترونية ضمن كلية الأعمال والإتصال. مدة الدراسة: 48 Months (4 Years). الدرجة الممنوحة: Bachelor. رمز البرنامج: 10808. وصف البرنامج الرسمي: صُمم هذا البرنامج ليُمكّن الطلبة من اكتساب فهم شامل للتفاعلات الحديثة بين علم الاقتصاد والتكنولوجيا الرقمية. ,ويقوم على الدمج بين المعرفة النظرية والمهارات التقنية بهدف تأهيل جيل من الاقتصاديين الرقميين القادرين على الاستجابة لمتطلبات الاقتصاد الحديث، وذلك من خلال أدوات التجارة الإلكترونية وتحليل البيانات والتقنيات الرقمية. مخرجات التعلم أولاً: مخرجات المعرفة والفهم (Cognitive Learning Outcomes) - فهم نظري متين لأسس علم الاقتصاد التقليدي والرقمي. - الإلمام بمفاهيم التجارة الإلكترونية وأدواتها، والمنصات الرقمية، وتقنيات التحول الرقمي. - تحليل التغيرات الاقتصادية في الأسواق الرقمية المحلية والعالمية. - فهم الجوانب القانونية والتنظيمية المتعلقة بالتجارة الإلكترونية والاقتصاد الرقمي. ثانيًا: المخرجات العملية والتطبيقية (Practical & Applied Skills) - القدرة على إنشاء المتاجر الإلكترونية وإدارتها. - استخدام أدوات تحليل البيانات والبرمجة الاقتصادية. - تطوير خطط تشغيلية وتنفيذها على المنصات التجارية. - تصميم حلول ابتكارية لمشاكل اقتصادية في بيئة الأعمال الرقمية وتنفيذها. - إجراء تقييم شامل لمخاطر الأمن السيبراني في المعاملات الإلكترونية. ثالثًا: مخرجات القيم المهنية والسلوكية (Professional & Ethical Values) - الالتزام بقواعد الشفافية والنزاهة في البيئات الرقمية. - تعزيز أخلاقيات العمل في الفضاء الإلكتروني بما يشمل حماية البيانات وحقوق المستهلك. - المسؤولية الاجتماعية في استخدام التكنولوجيا الرقمية لخدمة التنمية المستدامة. - احترام الملكية الفكرية وقوانين التجارة الإلكترونية الوطنية والدولية. فرص العمل المذكورة رسميًا: في السوق المحلي (فلسطين):",
