id,faculty_id,topic_id,question_en,question_ar,answer_en,answer_ar,normalized_intent,keywords,source_id,created_at,updated_at
1,1,1,What is the Faculty of Engineering at An-Najah?,ما هي كلية الهندسة في جامعة النجاح؟,"The Faculty of Engineering (FE) at An-Najah National University is one of the largest faculties in terms of students and faculty members, focusing on engineering education, research, and preparing graduates for professional and academic paths.",كلية الهندسة في جامعة النجاح الوطنية من أكبر الكليات من حيث عدد الطلبة وأعضاء الهيئة التدريسية، وتركز على التعليم الهندسي والبحث العلمي وإعداد الخريجين لسوق العمل والدراسات العليا.,FACULTY_ENGINEERING_OVERVIEW,"[""engineering"",""faculty"",""overview"",""an-najah""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
2,1,2,What departments are in the Faculty of Engineering?,ما هي أقسام كلية الهندسة؟,The official departments listing shows three departments: Electrical and Computer Engineering; Industrial and Mechanical Engineering; and Architectural and Civil Engineering.,بحسب صفحة الأقسام الرسمية، تضم الكلية ثلاثة أقسام: الهندسة الكهربائية وهندسة الحاسوب، والهندسة الصناعية والميكانيكية، والهندسة المعمارية والمدنية.,FACULTY_ENGINEERING_DEPARTMENTS_LIST,"[""departments"",""electrical"",""computer"",""industrial"",""mechanical"",""architectural"",""civil""]",2,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
3,1,3,What facilities and labs does the Faculty of Engineering have?,ما هي المرافق والمختبرات المتوفرة في كلية الهندسة؟,Official pages describe engineering workshops and several laboratories equipped for teaching and research (without publishing an official count).,تصف الصفحات الرسمية وجود ورش هندسية ومختبرات متعددة مجهزة للتعليم والبحث العلمي (دون نشر عدد رسمي دقيق).,FACULTY_ENGINEERING_FACILITIES,"[""labs"",""facilities"",""workshops"",""laboratories""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
4,1,4,When was the Faculty of Engineering established?,متى تأسست كلية الهندسة؟,"An archived official faculty page states the Faculty of Engineering was established in 1979, initially offering the Bachelor of Civil Engineering.",تذكر صفحة رسمية أرشيفية أن كلية الهندسة تأسست عام 1979 وكانت تقدم في البداية بكالوريوس الهندسة المدنية.,FACULTY_ENGINEERING_ESTABLISHED,"[""1979"",""established"",""history""]",3,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
5,1,5,Does An-Najah have ABET-accredited engineering programs?,هل لدى جامعة النجاح برامج هندسية معتمدة من ABET؟,"Yes. The official university page states An-Najah obtained ABET accreditation for 7 engineering and technology programmes: Civil, Electrical, Chemical, Industrial, Mechanical, Mechatronics, and Telecommunications Engineering.",نعم. تذكر الصفحة الرسمية للجامعة حصولها على اعتماد ABET لسبعة برامج في الهندسة والتكنولوجيا: المدنية، الكهربائية، الكيميائية، الصناعية، الميكانيكية، الميكاترونيكس، وهندسة الاتصالات.,FACULTY_ENGINEERING_ABET,"[""ABET"",""accreditation"",""civil"",""electrical"",""chemical"",""industrial"",""mechanical"",""mechatronics"",""telecommunications""]",4,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
6,1,1,What is FE?,ما المقصود بـ FE؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
7,1,1,Where is the Faculty of Engineering located?,أين تقع كلية الهندسة؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
8,1,1,How many departments does the faculty have?,كم عدد أقسام الكلية؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
9,1,1,How many students are in the faculty?,كم عدد طلبة الكلية؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
10,1,1,How many faculty members are there?,كم عدد أعضاء الهيئة التدريسية؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
11,1,1,What is the faculty known for?,بماذا تُعرف الكلية؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
12,1,1,Does it support research?,هل لدى الكلية نشاط بحثي؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
13,1,1,Does it have workshops?,هل توجد ورش في الكلية؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
14,1,1,Does it have laboratories?,هل توجد مختبرات في الكلية؟,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
15,1,1,List the engineering departments again.,اذكر أقسام الكلية مرة أخرى.,"Faculty information is available from official public pages. Ask about departments, facilities, history, or ABET accreditation.",معلومات الكلية متاحة عبر الصفحات الرسمية العامة. اسأل عن الأقسام أو المرافق أو التاريخ أو اعتماد ABET.,FACULTY_ENGINEERING_FAQ,"[""faculty"",""engineering"",""faq""]",1,"""2026-04-14T15:06:23.887Z""","""2026-04-14T15:06:23.887Z"""
16,1,2,Tell me about the Electrical and Computer Engineering Department.,حدثني عن قسم الهندسة الكهربائية وهندسة الحاسوب.,"It is one of the faculty’s official departments, covering electrical and computer engineering fields at a high level. For detailed program plans, refer to the faculty website.",هو أحد أقسام الكلية الرسمية ويغطي مجالات الهندسة الكهربائية وهندسة الحاسوب بشكل عام. للتفاصيل الدقيقة راجع موقع الكلية.,FACULTY_ENGINEERING_DEPARTMENT_ECE,"[""department"",""electrical"",""computer""]",2,"""2026-04-14T15:07:35.169Z""","""2026-04-14T15:07:35.169Z"""
17,1,2,Tell me about the Industrial and Mechanical Engineering Department.,حدثني عن قسم الهندسة الصناعية والميكانيكية.,"It is one of the faculty’s official departments, covering industrial and mechanical engineering fields at a high level.",هو أحد أقسام الكلية الرسمية ويغطي مجالات الهندسة الصناعية والميكانيكية بشكل عام.,FACULTY_ENGINEERING_DEPARTMENT_IME,"[""department"",""industrial"",""mechanical""]",2,"""2026-04-14T15:07:35.169Z""","""2026-04-14T15:07:35.169Z"""
18,1,2,Tell me about the Architectural and Civil Engineering Department.,حدثني عن قسم الهندسة المعمارية والمدنية.,"It is one of the faculty’s official departments, covering architectural and civil engineering fields at a high level.",هو أحد أقسام الكلية الرسمية ويغطي مجالات الهندسة المعمارية والمدنية بشكل عام.,FACULTY_ENGINEERING_DEPARTMENT_ACE,"[""department"",""architectural"",""civil""]",2,"""2026-04-14T15:07:35.169Z""","""2026-04-14T15:07:35.169Z"""
19,1,6,Which engineering programs are ABET-accredited at An-Najah?,ما هي البرامج الهندسية المعتمدة من ABET في جامعة النجاح؟,"The official university page lists these ABET-accredited programmes: Civil, Electrical, Chemical, Industrial, Mechanical, Mechatronics, and Telecommunications Engineering.",تذكر الصفحة الرسمية البرامج المعتمدة من ABET: المدنية، الكهربائية، الكيميائية، الصناعية، الميكانيكية، الميكاترونيكس، وهندسة الاتصالات.,FACULTY_ENGINEERING_ABET_LIST,"[""ABET"",""programs"",""accredited""]",1,"""2026-04-14T15:07:35.169Z""","""2026-04-14T15:07:35.169Z"""
