id,interaction_log_id,user_id,conversation_id,user_message_id,parent_interaction_log_id,question_text,detected_intent,raw_intent,reply_locale,context_major_id,context_program_key,context_category,extracted_entities,created_at
1,1,1,7,29,,hi,greet,greet,en,bus-mgmt,,business,"{""stream"":null,""average"":null,""category"":""business"",""programKey"":null,""pageMajorId"":""bus-mgmt"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:50:49.349Z"""
2,2,1,7,31,1,how are you,major_advisor_snapshot,unknown,en,bus-mgmt,,business,"{""stream"":null,""average"":null,""category"":""business"",""programKey"":null,""pageMajorId"":""bus-mgmt"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:50:57.332Z"""
3,3,1,7,33,2,give me course requirements,major_advisor_snapshot,major_advisor_snapshot,en,bus-mgmt,,business,"{""stream"":null,""average"":null,""category"":""business"",""programKey"":null,""pageMajorId"":""bus-mgmt"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:51:19.246Z"""
4,4,1,8,35,,give me course requerments \,major_advisor_snapshot,unknown,en,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:51:54.375Z"""
5,5,1,8,37,4,give me more,major_advisor_snapshot,unknown,en,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:52:11.631Z"""
6,6,1,8,39,5,what grade needed to study this,engineering_acceptance_query,engineering_acceptance_query,en,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:52:29.986Z"""
7,7,1,8,41,6,هل هالتخصص صعب؟,major_advisor_snapshot,major_advisor_snapshot,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:52:50.944Z"""
8,8,1,8,43,7,فيه رياضيات كثير؟,major_advisor_snapshot,major_advisor_snapshot,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[""رياضيات""],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:54:42.015Z"""
9,9,1,9,45,,Is it very math-heavy?,major_advisor_snapshot,major_advisor_snapshot,en,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[""math"",""mathematics""],""pageReference"":true,""comparisonPair"":null}","""2026-04-17T13:58:19.277Z"""
10,10,1,9,47,9,كيفك,major_advisor_snapshot,unknown,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:59:36.459Z"""
