id,faculty_slug,program_key,name_en,name_ar,description_en,description_ar,degree_type,stream_type,min_acceptance_average_min,min_acceptance_average_max,is_estimate,difficulty_level,estimated_competition_level,general_notes,keywords,source_id,created_at,updated_at,is_abet_accredited,department_name,career_summary_en,career_summary_ar
6,an-najah-faculty-engineering,industrial_engineering,Industrial Engineering,الهندسة الصناعية,"Optimize processes, systems, operations, and productivity using engineering methods.",تحسين العمليات والأنظمة والإنتاجية باستخدام أساليب هندسية.,Bachelor,both,70.00,82.00,true,medium,medium,,"[""industrial"",""operations"",""optimization"",""process""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Industrial and Mechanical Engineering,,
7,an-najah-faculty-engineering,mechatronics_engineering,Mechatronics Engineering,هندسة الميكاترونيكس,"Interdisciplinary program combining mechanics, electronics, control, and computing.",برنامج يجمع بين الميكانيك والإلكترونيات والتحكم والحوسبة.,Bachelor,scientific,78.00,88.00,true,high,high,,"[""mechatronics"",""robotics"",""control"",""electronics""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Industrial and Mechanical Engineering,,
8,an-najah-faculty-engineering,telecommunications_engineering,Telecommunications Engineering,هندسة الاتصالات,"Communication networks, signal processing, and wireless systems.",الشبكات ومعالجة الإشارات والأنظمة اللاسلكية.,Bachelor,scientific,76.00,86.00,true,high,high,,"[""telecom"",""networks"",""signals"",""wireless""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Electrical and Computer Engineering,,
1,an-najah-faculty-engineering,civil_engineering,Civil Engineering,الهندسة المدنية,"Design and build infrastructure such as buildings, roads, and water systems.",تصميم وتنفيذ البنية التحتية مثل المباني والطرق وشبكات المياه.,Bachelor,both,70.00,78.00,true,medium,medium,,"[""civil"",""infrastructure"",""buildings"",""roads"",""water""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Architectural and Civil Engineering,,
3,an-najah-faculty-engineering,electrical_engineering,Electrical Engineering,الهندسة الكهربائية,"Power systems, electronics, control, and electrical technologies.",أنظمة القدرة والإلكترونيات والتحكم والتقنيات الكهربائية.,Bachelor,scientific,78.00,88.00,true,high,high,,"[""electrical"",""power"",""electronics"",""control""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Electrical and Computer Engineering,,
4,an-najah-faculty-engineering,computer_engineering,Computer Engineering,هندسة الحاسوب,"Hardware-software systems, embedded computing, and computer architecture.",أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.,Bachelor,scientific,80.00,90.00,true,high,high,,"[""computer"",""embedded"",""hardware"",""software""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Electrical and Computer Engineering,,
9,an-najah-faculty-engineering,energy_environmental_engineering,Energy and Environmental Engineering,هندسة الطاقة والبيئة,"Energy systems, sustainability, and environmental solutions.",أنظمة الطاقة والاستدامة والحلول البيئية.,Bachelor,both,72.00,82.00,true,medium,medium,,"[""energy"",""environment"",""sustainability""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",false,Industrial and Mechanical Engineering,,
5,an-najah-faculty-engineering,mechanical_engineering,Mechanical Engineering,الهندسة الميكانيكية,"Machines, energy systems, manufacturing, and mechanical design.",الآلات والطاقة والتصنيع والتصميم الميكانيكي.,Bachelor,both,74.00,84.00,true,high,high,,"[""mechanical"",""machines"",""manufacturing"",""design""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",true,Industrial and Mechanical Engineering,"Graduates can work in building mechanical systems, factories as mechanical engineering designers or maintenance engineers, production lines, vehicle companies, government institutions, elevator companies, and hydraulic machines.",
10,an-najah-faculty-engineering,chemical_engineering,Chemical Engineering,الهندسة الكيميائية,,,Bachelor,scientific,,,true,,,,"[""chemical"",""chemistry"",""process""]",2,"""2026-04-14T17:18:18.525Z""","""2026-04-14T18:28:30.778Z""",true,Industrial and Mechanical Engineering,,
11,an-najah-faculty-engineering,building_engineering,Building Engineering,هندسة البناء,,,Bachelor,both,,,true,,,,"[""building"",""construction"",""structural""]",2,"""2026-04-14T17:18:18.525Z""","""2026-04-14T18:28:30.778Z""",true,Architectural and Civil Engineering,,
12,an-najah-faculty-engineering,urban_planning,Urban Planning Engineering,هندسة التخطيط العمراني,,,Bachelor,both,,,true,,,,"[""urban"",""planning"",""city""]",2,"""2026-04-14T17:18:18.525Z""","""2026-04-14T18:28:30.778Z""",false,Architectural and Civil Engineering,,
13,an-najah-faculty-engineering,materials_engineering,Materials Science Engineering,هندسة علوم المواد,,,Bachelor,scientific,,,true,,,,"[""materials"",""materials science"",""metallurgy""]",2,"""2026-04-14T17:18:18.525Z""","""2026-04-14T18:28:30.778Z""",false,Industrial and Mechanical Engineering,,
2,an-najah-faculty-engineering,architectural_engineering,Architectural Engineering,الهندسة المعمارية,Integrates architecture with engineering for building design and construction systems.,يجمع بين العمارة والهندسة لتصميم المباني وأنظمة الإنشاء.,Bachelor,both,72.00,82.00,true,high,high,,"[""architecture"",""buildings"",""design"",""construction""]",1,"""2026-04-14T15:12:49.099Z""","""2026-04-14T15:12:49.099Z""",false,Architectural and Civil Engineering,,
