id,conversation_id,sender,content,created_at
1,1,user,شو يعني علم حاسوب,"""2026-04-14T17:49:12.956Z"""
2,1,bot,"قراءة منظمة من الكتالوج لـ **Computer Science** — كل نقطة مربوطة بحقل مخزن (نطاق قبول، فرع، صعوبة، ملاحظات، أو وصف):

• مؤشر الصعوبة في السجل لـ Computer Science: مرتفع.
• مؤشر التنافس في السجل: مرتفع.
• وصف من الكتالوج: أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.
• نطاق القبول المخزن: من 80 إلى 90.","""2026-04-14T17:49:12.963Z"""
3,2,user,how are you,"""2026-04-14T17:54:18.827Z"""
4,2,bot,"Structured catalogue read-out for **Computer Science** — each bullet is tied to a stored field (band, stream flag, difficulty, notes, or description):

• Stored difficulty flag for Computer Science: high.
• Stored competition flag: high.
• Catalogue description (excerpt): Hardware-software systems, embedded computing, and computer architecture.
• Stored admission band: 80–90.","""2026-04-14T17:54:18.833Z"""
5,2,user,What competition level is flagged in the database?,"""2026-04-14T17:54:29.140Z"""
6,2,bot,"Structured catalogue read-out for **Computer Science** — each bullet is tied to a stored field (band, stream flag, difficulty, notes, or description):

• Stored difficulty flag for Computer Science: high.
• Stored competition flag: high.
• Catalogue description (excerpt): Hardware-software systems, embedded computing, and computer architecture.
• Stored admission band: 80–90.","""2026-04-14T17:54:29.146Z"""
7,2,user,What workload signal does the catalogue store for this programme?,"""2026-04-14T17:54:42.148Z"""
8,2,bot,"Structured catalogue read-out for **Computer Science** — each bullet is tied to a stored field (band, stream flag, difficulty, notes, or description):

• Catalogue description (excerpt): Hardware-software systems, embedded computing, and computer architecture.","""2026-04-14T17:54:42.153Z"""
9,3,user,what is computer science,"""2026-04-14T18:22:08.415Z"""
10,3,bot,"Structured catalogue read-out for **Computer Science** — each bullet is tied to a stored field (band, stream flag, difficulty, notes, or description):

• Stored difficulty flag for Computer Science: high.
• Stored competition flag: high.
• Catalogue description (excerpt): Hardware-software systems, embedded computing, and computer architecture.
• Stored admission band: 80–90.","""2026-04-14T18:22:08.422Z"""
11,3,user,منيح ولا لا التخصص ؟,"""2026-04-14T18:22:42.618Z"""
12,3,bot,"قراءة منظمة من الكتالوج لـ **Computer Science** — كل نقطة مربوطة بحقل مخزن (نطاق قبول، فرع، صعوبة، ملاحظات، أو وصف):

• مؤشر الصعوبة في السجل لـ Computer Science: مرتفع.
• مؤشر التنافس في السجل: مرتفع.
• وصف من الكتالوج: أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.
• نطاق القبول المخزن: من 80 إلى 90.","""2026-04-14T18:22:42.626Z"""
13,4,user,hi,"""2026-04-14T18:29:27.659Z"""
14,4,bot,"Welcome! I am your academic advisor for Computer Science. Ask me about anything related to this programme — admission requirements, difficulty, career opportunities, or how it compares with other options.","""2026-04-14T18:29:27.670Z"""
15,4,user,شو نطاق القبول المخزن؟,"""2026-04-14T18:29:34.926Z"""
16,4,bot,"قراءة منظمة من الكتالوج لـ **Computer Science** — كل نقطة مربوطة بحقل مخزن (نطاق قبول، فرع، صعوبة، ملاحظات، أو وصف):

• مؤشر الصعوبة في السجل لـ Computer Science: مرتفع.
• مؤشر التنافس في السجل: مرتفع.
• وصف من الكتالوج: أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.
• نطاق القبول المخزن: من 80 إلى 90.","""2026-04-14T18:29:34.931Z"""
17,4,user,شو معدل القبول؟,"""2026-04-14T18:33:05.163Z"""
18,4,bot,"حالياً ما عندي بيانات كافية في القاعدة عشان أجاوبك على هالسؤال بثقة. جرّب تعيد الصياغة، أو اسأل عن شيء مسجل عنا صراحة (فعاليات، مجتمعات، أو برامج هندسة موجودة بالسجل).

إنت على صفحة **Computer Science**، فبقدر لسا ألخّص اللي بالقاعدة لهالبرنامج (الاقتراحات فوق من السجل).

أمثلة مربوطة بالصفحة: «هل هالتخصص صعب؟»؛ «فيه رياضيات كثير؟»؛ «شو مستوى التنافس؟».","""2026-04-14T18:33:05.168Z"""
19,5,user,What is the competition level?,"""2026-04-14T18:48:59.530Z"""
20,5,bot,"Structured catalogue read-out for **Computer Science** — each bullet is tied to a stored field (band, stream flag, difficulty, notes, or description):

• Stored difficulty flag for Computer Science: high.
• Stored competition flag: high.
• Catalogue description (excerpt): Hardware-software systems, embedded computing, and computer architecture.
• Stored admission band: 80–90.","""2026-04-14T18:48:59.538Z"""
21,6,user,Is this programme difficult?,"""2026-04-14T18:49:24.220Z"""
22,6,bot,"Structured catalogue read-out for **Computer Science** — each bullet is tied to a stored field (band, stream flag, difficulty, notes, or description):

• Stored difficulty flag for Computer Science: high.
• Stored competition flag: high.","""2026-04-14T18:49:24.229Z"""
23,6,user,Is it very math-heavy?,"""2026-04-14T18:49:26.622Z"""
